procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3124188  73276 731708    0    0     0     0   71  108  0  0 98  2  0
 0  0      0 3124188  73276 731712    0    0     0    20   89  103  0  0 100  0  0
 0  0      0 3124436  73276 731716    0    0     0     0   76   94  0  0 100  0  0
 0  0      0 3124328  73276 731720    0    0     0     0   91   96  0  0 99  0  0
 0  1      0 3124552  73280 731728    0    0     0    48   83   97  0  0 98  1  0
 0  0      0 3124444  73280 731728    0    0     0     0   74   90  0  0 97  2  0
 0  0      0 3124652  73280 731744    0    0     0     0   70   89  0  0 100  0  0
 1  0      0 3124528  73280 731744    0    0     0    28   83   97  0  0 100  0  0
 0  0      0 3124400  73280 731684    0    0     0     0   81   85  0  0 100  0  0
 0  1      0 3124400  73288 731684    0    0     0    44   78  101  0  0 98  2  0
 0  0      0 3124400  73288 731684    0    0     0     0   84  107  0  0 99  1  0
 0  0      0 3124840  73288 731696    0    0     0     0  525  697  1  1 98  0  0
 0  0      0 3124400  73288 731700    0    0     0    32  104  122  0  0 99  0  0
 0  0      0 3124276  73288 731704    0    0     0     0   97   99  0  0 100  0  0
 0  1      0 3124152  73296 731708    0    0     0    60   88  106  1  0 98  2  0
 0  0      0 3124152  73296 731716    0    0     0     0   85  108  0  0 98  2  0
 0  0      0 3124276  73296 731724    0    0     0     0   98  104  0  0 99  0  0
 0  0      0 3124152  73296 731728    0    0     0    44   95  103  0  0 100  0  0
 0  0      0 3124308  73296 731732    0    0     0     0  101  105  0  0 100  0  0
 1  1      0 3121716  73304 731740    0    0     0    44  232  249  1  2 96  1  0
 1  0      0 3097720  73304 732092    0    0     0     0 1662 2090  9 10 79  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3154480  73304 662204    0    0     0     0  891  946 18  8 75  0  0
 0  0      0 3123888  73304 731888    0    0     0     0  830  790 12  6 82  0  0
 0  0      0 3123980  73308 731928    0    0     0 68236  115  115  0  1 99  0  0
 0  1      0 3123732  73320 731928    0    0     0   148   89  107  0  0 98  2  0
 0  0      0 3123856  73320 731932    0    0     0     0   83  107  0  0 83 16  0
 0  0      0 3123856  73320 731932    0    0     0     0   78   90  0  0 99  0  0
 0  0      0 3123980  73320 731932    0    0     0     0   84  104  0  0 99  0  0
 0  0      0 3123856  73320 731932    0    0     0     0   86  101  0  1 100  0  0
 0  1      0 3123856  73328 731932    0    0     0    20   73  103  0  0 98  2  0
 0  0      0 3123856  73328 731844    0    0     0     0   91  100  1  0 99  1  0
 0  0      0 3123608  73328 731848    0    0     0     0   78  104  1  0 100  0  0
 0  0      0 3123360  73328 731848    0    0     0     0   66   91  0  1 100  0  0
 0  0      0 3123484  73328 731848    0    0     0     0   87   97  0  0 100  0  0
 0  1      0 3123516  73336 731848    0    0     0    20   76   97  0  0 98  2  0
 0  0      0 3123764  73336 731852    0    0     0     0   93  118  1  0 99  1  0
 0  0      0 3123888  73336 731852    0    0     0     0   85   94  0  0 100  0  0
 0  0      0 3124012  73336 731852    0    0     0     0   93  105  0  0 100  0  0
 0  0      0 3123888  73336 731852    0    0     0     0   83   96  0  0 100  0  0
 0  1      0 3124012  73344 731852    0    0     0    20   99  114  0  0 98  2  0
 0  0      0 3123888  73344 731856    0    0     0     0   87  104  0  1 99  1  0
 0  0      0 3123888  73344 731856    0    0     0     0   92  105  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3123888  73344 731864    0    0     0     0   84   93  0  0 99  0  0
 0  0      0 3123888  73344 731864    0    0     0     0   91  109  0  0 100  0  0
 0  1      0 3123888  73348 731868    0    0     0    20   88  103  0  0 98  2  0
 0  0      0 3123888  73348 731868    0    0     0     0   93  111  0  0 99  1  0
 0  0      0 3124012  73348 731868    0    0     0     0   86   96  0  1 99  0  0
 0  0      0 3123888  73348 731876    0    0     0     0   71  103  0  0 100  0  0
 0  0      0 3123920  73348 731876    0    0     0     0   87   96  0  0 100  0  0
 0  1      0 3124044  73352 731880    0    0     0    20   91  104  0  0 98  2  0
 0  0      0 3124168  73352 731884    0    0     0     0   83   98  0  0 99  1  0
 0  0      0 3124292  73352 731888    0    0     0     0   91  110  0  0 100  0  0
 0  0      0 3124168  73352 731892    0    0     0     0   84   96  0  0 100  0  0
 0  0      0 3124292  73352 731896    0    0     0   156   89   97  0  1 100  0  0
 0  1      0 3124168  73356 731908    0    0     0    48   86  102  0  0 98  2  0
 0  0      0 3124160  73356 731912    0    0     0     0   91  116  1  0 97  2  0
 0  0      0 3123796  73356 731924    0    0     0     0   76  100  0  0 100  0  0
 0  0      0 3123912  73356 731924    0    0     0     0   87   97  0  0 100  0  0
 0  0      0 3123920  73356 731924    0    0     0     0   85   92  0  0 100  0  0
 0  1      0 3124036  73364 731864    0    0     0    20   89  110  0  0 97  2  0
 0  0      0 3123796  73364 731848    0    0     0     0   67  101  0  0 99  1  0
 0  0      0 3123788  73364 731848    0    0     0     0   82   96  0  0 99  0  0
 0  0      0 3123748  73364 731848    0    0     0     0   82   83  1  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3123904  73364 731848    0    0     0     0   77   93  0  1 99  0  0
 0  1      0 3123880  73372 731852    0    0     0    20   88   97  0  1 98  2  0
 0  0      0 3124052  73372 731852    0    0     0     0   86   97  0  0 99  1  0
 0  0      0 3123996  73372 731852    0    0     0     0   90  100  0  0 99  0  0
 0  0      0 3124200  73372 731852    0    0     0     0   95  113  0  0 100  0  0
 1  0      0 3124052  73372 731860    0    0     0     0   69   78  0  0 100  0  0
 0  1      0 3124200  73380 731868    0    0     0    20   85   92  0  1 98  2  0
 0  0      0 3124200  73380 731872    0    0     0     0   91  105  0  0 93  6  0
 0  0      0 3124200  73380 731876    0    0     0     0  103  111  0  1 99  0  0
 0  0      0 3124076  73380 731880    0    0     0     0   92  108  0  1 100  0  0
 0  0      0 3124076  73380 731888    0    0     0     0   85   99  0  0 99  0  0
 0  1      0 3124324  73388 731892    0    0     0    20   90  107  0  0 98  2  0
 0  0      0 3124076  73388 731896    0    0     0     0   71  105  0  0 99  0  0
 0  0      0 3124108  73388 731900    0    0     0     0   81  100  0  0 100  0  0
 0  0      0 3124108  73388 731904    0    0     0     0   83   96  0  0 100  0  0
 0  0      0 3124108  73388 731912    0    0     0     0   86   99  0  0 100  0  0
 0  1      0 3124108  73392 731916    0    0     0    20   74  110  0  0 98  2  0
 0  0      0 3124108  73392 731924    0    0     0     0   85  101  0  0 99  1  0
 0  0      0 3124232  73392 731928    0    0     0     0   91  102  0  0 100  0  0
 0  0      0 3124232  73392 731932    0    0     0     0   80   95  0  0 100  0  0
 0  0      0 3124108  73392 731944    0    0     0     0   74  102  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 3124108  73400 731944    0    0     0    24   88  104  0  0 98  2  0
 0  0      0 3124108  73400 731948    0    0     0     0   94  106  0  0 99  1  0
 0  0      0 3123792  73400 731956    0    0     0     0   88   99  0  0 100  0  0
 0  0      0 3123916  73400 731960    0    0     0     0   87  100  0  0 100  0  0
 0  0      0 3123916  73400 731968    0    0     0     0   89   97  0  1 99  0  0
 0  1      0 3123916  73404 731972    0    0     0   100   95  109  1  0 98  2  0
