procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  20124 1929072  75052 828980    0    0     0     0 11065 26895 27 38 34  0  0
 3  0  20124 1924360  75052 828980    0    0     0     0 11714 29043 28 38 34  0  0
 3  0  20124 1919524  75052 828980    0    0     0     0 10985 27687 26 40 34  0  0
 3  0  20124 1914812  75060 828972    0    0     0    24 10547 25743 25 41 33  1  0
 2  0  20124 1910100  75060 828980    0    0     0     0 11235 29097 31 35 33  0  0
 3  0  20124 1905140  75060 828980    0    0     0     0 11165 27063 26 39 34  0  0
 2  0  20124 1900552  75060 828980    0    0     0     0 11005 26666 26 39 35  0  0
 3  0  20124 1886020  75060 832140    0    0     0     0 10841 25767 31 40 29  0  0
 4  0  20124 1856524  75060 847212    0    0     0    48 12588 31522 50 41  9  0  0
 3  1  20124 1830824  75064 862540    0    0     0 32820 12051 30052 48 41  9  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  20124 1873256  75064 837596    0    0     0     0 12210 31694 28 39 27  7  0
 3  0  20124 1869032  75064 837564    0    0     0     0 10640 28126 24 39 37  0  0
 3  0  20124 1864204  75064 837564    0    0     0    16 11775 30751 27 39 34  0  0
 3  0  20124 1859988  75064 837564    0    0     0     0 10478 29193 24 38 39  0  0
 2  1  20124 1855400  75072 837556    0    0     0    88 10442 27689 28 38 34  1  0
 3  0  20124 1850316  75072 837564    0    0     0     0 10294 25847 28 38 34  1  0
 3  0  20124 1845852  75072 837564    0    0     0     0 10391 25924 26 39 34  0  0
 3  0  20124 1841140  75072 837564    0    0     0    76 10731 27125 26 40 34  0  0
 1  0  20124 1836428  75072 837564    0    0     0     0 10742 27363 25 41 34  0  0
 3  0  20124 1831344  75072 837564    0    0     0     0 11217 28142 25 41 34  0  0
 3  0  20124 1826632  75076 837564    0    0     0    48 11851 29416 27 39 31  3  0
 3  0  20124 1822044  75076 837564    0    0     0     0 11077 26578 26 39 34  0  0
 3  0  20124 1817240  75076 837564    0    0     0     0 11903 31243 27 39 35  0  0
 2  0  20124 1812528  75076 837564    0    0     0     0 11131 27519 25 42 33  0  0
 3  0  20124 1807816  75076 837564    0    0     0     0 11104 27084 24 41 34  0  0
 3  0  20124 1803104  75080 837564    0    0     0    24 10929 26814 24 42 33  1  0
 2  0  20124 1798392  75080 837564    0    0     0     0 11436 29050 27 39 34  0  0
 1  0  20124 1794300  75080 837564    0    0     0     0 10345 28575 21 40 39  0  0
 3  0  20124 1789712  75080 837564    0    0     0     0 11619 29639 24 42 34  0  0
 2  0  20124 1785000  75080 837564    0    0     0     0 11645 27434 26 40 34  0  0
 3  0  20124 1780412  75080 837564    0    0     0    24 11114 27126 22 43 34  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  20124 1775824  75080 837564    0    0     0     0 11684 29472 26 39 35  0  0
 3  0  20124 1771236  75080 837564    0    0     0     0 11471 28856 26 40 34  0  0
 3  0  20124 1766648  75080 837568    0    0     0     0 10885 26192 25 41 34  0  0
 3  0  20124 1761936  75080 837568    0    0     0     0 11450 28352 25 41 34  0  0
 3  0  20124 1757316  75088 837600    0    0     0    24 11797 30778 25 41 34  1  0
 3  0  20124 1752728  75088 837600    0    0     0     0 11625 28377 26 40 34  0  0
 3  0  20124 1748140  75088 837600    0    0     0     0 11779 29472 26 39 35  0  0
 3  0  20124 1744668  75088 837600    0    0     0     0 8712 26298 21 36 43  0  0
 3  0  20124 1739956  75088 837600    0    0     0     0 11348 27589 25 41 34  0  0
 3  0  20124 1735368  75088 837600    0    0     0    24 11936 29328 24 42 34  0  0
 3  0  20124 1730780  75088 837600    0    0     0     0 11404 28353 27 39 34  0  0
 3  0  20124 1726068  75088 837600    0    0     0    28 10999 26792 24 42 34  0  0
 3  0  20124 1721604  75088 837600    0    0     0     0 11657 29024 24 43 34  0  0
 2  0  20124 1717140  75088 837604    0    0     0     0 11447 28519 26 40 34  0  0
 3  0  20124 1712428  75092 837604    0    0     0    40 12559 31670 26 41 33  0  0
 1  0  20124 1708088  75092 837604    0    0     0     0 12584 32879 26 39 36  0  0
 1  0  20124 1703624  75092 837604    0    0     0    28 11156 26416 27 38 34  0  0
 2  0  20124 1699160  75092 837604    0    0     0     0 11325 27939 25 40 35  0  0
 2  0  20124 1694448  75092 837604    0    0     0     0 11308 28343 25 41 34  0  0
 2  0  20124 1690108  75092 837604    0    0     0    44 10637 27149 25 38 35  2  0
 2  0  20124 1685636  75092 837604    0    0     0     0 10555 27612 26 37 37  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  20124 1681088  75092 837572    0    0     0     0 11031 27896 27 40 34  0  0
 2  0  20124 1676500  75092 837580    0    0     0    36 11917 31162 26 40 34  0  0
 2  0  20124 1671912  75092 837580    0    0     0     0 11280 27126 25 41 34  0  0
 2  0  20124 1667448  75100 837572    0    0     0    48 12524 31921 27 39 32  2  0
 3  0  20124 1662984  75100 837580    0    0     0     0 11923 27887 26 39 35  0  0
 3  0  20124 1658520  75100 837580    0    0     0     0 11692 28320 25 40 35  0  0
 2  0  20124 1653932  75100 837580    0    0     0    32 11797 29600 24 42 34  0  0
 3  0  20124 1649344  75100 837584    0    0     0     0 11652 32454 27 39 34  0  0
 2  0  20124 1644880  75100 837584    0    0     0    24 11788 30711 27 39 32  2  0
 3  0  20124 1632356  75100 837584    0    0     0     0 10469 27292 24 32 43  0  0
 3  0  20124 1623552  75100 837584    0    0     0     0 11874 27488 26 37 37  0  0
 1  0  20124 1617724  75100 837584    0    0     0    20 11160 28658 26 36 39  0  0
 1  0  20124 1612796  75100 837584    0    0     0     0 11862 29014 26 38 36  0  0
 1  0  20124 1608332  75104 837580    0    0     0    40 11525 26508 25 38 36  1  0
 3  0  20124 1604156  75104 837544    0    0     0     0 11511 28265 25 38 37  0  0
 3  0  20124 1607380  75104 837544    0    0     0     0 11420 27469 25 39 36  0  0
 3  0  20124 1603288  75104 837544    0    0     0     0 11215 27579 25 41 34  0  0
 3  0  20124 1598824  75104 837544    0    0     0    28 11455 29546 25 41 34  0  0
 4  0  20124 1584540  75104 840344    0    0     0    24 11651 28356 31 40 29  1  0
 3  0  20124 1551472  75104 855104    0    0     0     0 11463 28242 52 37 12  0  0
 4  0  20124 1520440  75104 871380    0    0     0     0 12208 29270 51 40  9  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  20124 1572784  75108 846064    0    0     0 40908 9884 26981 33 39 26  2  0
 3  0  20124 1568528  75108 845876    0    0     0     0 10888 26854 26 39 34  0  0
 3  0  20124 1563940  75108 845876    0    0     0     0 11370 28661 26 40 34  0  0
 3  0  20124 1559476  75108 845876    0    0     0     0 11843 30466 27 39 34  0  0
 2  0  20124 1554888  75108 845876    0    0     0     0 11830 29363 28 38 34  0  0
 3  0  20124 1550424  75116 845868    0    0     0    68 11694 29941 25 41 34  0  0
 3  0  20124 1545712  75116 845876    0    0     0     0 11021 29404 28 39 33  0  0
 2  0  20124 1541248  75116 845876    0    0     0     0 11687 29302 26 40 34  0  0
 3  0  20124 1536784  75116 845876    0    0     0     0 11684 30474 25 42 34  0  0
 2  0  20124 1532320  75116 845876    0    0     0     0 10854 26877 28 39 34  0  0
 2  0  20124 1527732  75120 845876    0    0     0    24 10860 27416 28 39 33  0  0
 3  0  20124 1523268  75120 845880    0    0     0     0 11231 28629 25 41 34  0  0
 3  0  20124 1518804  75120 845880    0    0     0     0 11563 30451 26 40 34  0  0
