procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311084  32264 638760    0    0     0    12   67   78  0  0 97  3  0
 0  0    364 3310596  32264 638776    0    0     0     0   59   78  0  0 100  0  0
 0  0    364 3310428  32264 638792    0    0     0     0   68   81  0  1 100  0  0
 0  0    364 3310420  32264 638792    0    0     0     0   63   71  0  0 100  0  0
 0  0    364 3310420  32264 638792    0    0     0     0   61   66  0  0 100  0  0
 0  0    364 3310552  32272 638792    0    0     0    12   68   84  0  0 97  2  0
 0  0    364 3310584  32272 638796    0    0     0     0   68   80  0  0 100  0  0
 0  0    364 3310584  32272 638796    0    0     0     0   58   65  0  0 100  0  0
 0  0    364 3310436  32272 638796    0    0     0     0   59   66  0  0 100  0  0
 0  0    364 3310436  32272 638812    0    0     0     0   56   66  0  0 100  0  0
 0  0    364 3310400  32280 638816    0    0     0    12   78   95  0  0 97  3  0
 0  0    364 3310548  32280 638816    0    0     0     0   66   76  0  0 100  0  0
 0  0    364 3310548  32280 638816    0    0     0     0   60   68  0  0 100  0  0
 0  0    364 3310368  32280 638824    0    0     0     0   56   71  0  0 100  0  0
 0  0    364 3310392  32280 638832    0    0     0     0   66   83  0  0 100  0  0
 0  0    364 3310484  32288 638828    0    0     0    12   75   87  0  0 96  3  0
 0  0    364 3310640  32288 638840    0    0     0     0   63   74  0  0 100  0  0
 0  0    364 3310740  32288 638840    0    0     0     0   56   63  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3310764  32288 638852    0    0     0     0   74   89  1  0 100  0  0
 0  0    364 3310824  32288 638852    0    0     0     0   63   64  0  0 99  0  0
 0  0    364 3311044  32296 638768    0    0     0    12   73   89  0  0 97  3  0
 0  0    364 3310896  32296 638768    0    0     0     0   62   71  0  0 100  0  0
 0  0    364 3310804  32296 638768    0    0     0     0   56   81  0  0 99  0  0
 0  0    364 3310804  32296 638768    0    0     0     8   64   72  0  0 100  0  0
 0  0    364 3310664  32296 638772    0    0     0     0   64   74  0  0 100  0  0
